事件ID,事件名称,上报来源,是否必须,事件说明,备注
20012,自定义事件：任务成就-Task,研发-后端,,HYL:任务成就相关操作日志，触发/领取/完成/交付等,对应原【10014：任务成就-Task】
20013,自定义事件：分档奖励-RankReward,研发-后端,,HYL:分档奖励相关操作日志，达成/领取等,¶¶¶¶¶ 新增
20014,自定义事件：玩家换装-PlayerAvatar,研发-后端,,HYL:玩家换装相关操作日志，穿上/脱下/染色等,对应原【10012：玩家换装-PlayerAvatar】
20015,自定义事件：场景布置-SceneLayout,研发-后端,,HYL:场景布置相关操作日志，布置/移动/收回等,对应原【10011：场景布置-SceneLayout】
20016,自定义事件：社交系统-Social,研发-后端,,HYL:社交好友相关操作日志，加好友/互助等,¶¶¶¶¶ 原【10016：社交系统-Social】
20017,自定义事件：交易系统-Trade,研发-后端,,HYL:交易系统相关操作日志，寄售/购买等,对应原【10017：交易系统-Trade】
20018,自定义事件：玩家排行-GameRanking,研发-后端,,HYL:玩家排行相关行为日志，排名变动/奖励领取等,对应原【10031：玩家排行-GameRanking】
20019,自定义事件：公会系统-Guild,研发-后端,,HYL:公会相关基础行为日志，建设/分享/兑换等,¶¶¶¶¶ 新增
20020,自定义事件：公会竞赛-GuildLeague,研发-后端,,HYL:公会竞赛相关行为日志，领取/升级/完成公会任务等,¶¶¶¶¶ 新增
20021,自定义事件：内嵌游戏-MiniGame,研发-后端,,HYL:内嵌游戏相关操作日志，挑战/评分/结算等,对应原【10025：内嵌游戏-MiniGame】
20022,自定义事件：入口检测-LauchFrom,研发-前端/SDK,,HYL:根据平台要求，针对特定入口激励类功能的行为日志,对应原【10033：入口检测-LauchFrom】
20023,自定义事件：平台特性-PlatformFeature,研发-前端/SDK,,HYL:平台特性相关操作日志，触发/发起/完成/反馈等,对应原【10028：平台特性-PlatformFeature】
20024,自定义事件：商品购买-GoodsPurchase,研发-后端,,HYL:通用商店机制中，商品购买日志,对应原【10030：商品购买-GoodsPurchase】
20025,自定义事件：扭蛋抽奖-Gacha,研发-后端,,HYL:扭蛋抽奖相关行为日志，单抽/十连/保底等,¶¶¶¶¶ 新增
20026,自定义事件：活动展示-OpActHUD,研发-前端/SDK,,HYL:活动类HUD界面操作日志，弹出/打开/完成/关闭等,对应原【10029：活动展示-OpActHUD】
20027,自定义事件：运营活动-OpAct,研发-后端,,HYL:运营活动相关操作日志，启用/完成/交付等(参考任务),对应原【10027：运营活动-OpAct】
20028,,,,,
20029,,,,,
20030,,,,,
……,自定义事件：……,……,,……,
,,,,,
stepId,stepName,,,SDK前置事件埋点,"GSSdk.analytics.track()，type = ""1"""
10,游戏启动,研发-前端/SDK,,HYL:游戏启动，SDK初始化,step_version = 20250122
20,进入启动页,研发-前端/SDK,,HYL:游戏Logo动画启动页,step_version = 20250122
30,CDN下载开始,研发-前端/SDK,,HYL:开始进行配置&资源下载,step_version = 20250122
31,CDN下载失败,研发-前端/SDK,,HYL:启动过程中任意位置下载失败(包括中断)，可重复,step_version = 20250122
32,CDN下载重连,研发-前端/SDK,,HYL:启动过程中下载失败/中断后重试/重连成功，可重复,step_version = 20250122
40,进入Loading界面,研发-前端/SDK,,HYL:进入启动Loading界面,step_version = 20250122
50,SDK登录开始,研发-前端/SDK,,HYL:SDK登录开始，调用Login接口,step_version = 20250122
51,SDK登录失败,研发-前端/SDK,,HYL:SDK登录失败，Login接口回调失败,step_version = 20250122
60,SDK登录成功,研发-前端/SDK,,HYL:SDK登录成功，Login接口回调成功,step_version = 20250122
70,CDN下载完成,研发-前端/SDK,,HYL:CDN下载完成,step_version = 20250122
80,场景加载完成，进入游戏,研发-前端/SDK,,HYL:游戏场景加载完成，进入游戏,step_version = 20250122
90,新手漫画剧情一,研发-前端/SDK,,HYL:进入新手漫画剧情第一页,step_version = 20250122
91,新手漫画剧情一·加速,研发-前端/SDK,,HYL:进行漫画剧情第一页加速操作，多次操作则多次上报,step_version = 20250122
100,新手漫画剧情二,研发-前端/SDK,,HYL:进入新手漫画剧情第二页,step_version = 20250122
101,新手漫画剧情二·加速,研发-前端/SDK,,HYL:进行漫画剧情第二页加速操作，多次操作则多次上报,step_version = 20250122
110,进入花灵选择界面,研发-前端/SDK,,HYL:进入花灵选择界面,step_version = 20250122
111,花灵选择切换,研发-前端/SDK,,HYL:进行花灵切换操作，可进行记录，不需要重复上报,step_version = 20250122
120,完成花灵选择,研发-前端/SDK,,HYL:完成花灵选择，点击确认下一步,step_version = 20250122
130,进入角色创建界面,研发-前端/SDK,,HYL:进入角色创建界面,step_version = 20250122
131,角色昵称手动修改,研发-前端/SDK,,HYL:手动输入修改角色昵称，不需要重复上报,step_version = 20250122
132,玩家昵称随机修改,研发-前端/SDK,,HYL:随用随机昵称进行昵称修改，不需要重复上报,step_version = 20250122
133,玩家昵称非法,研发-前端/SDK,,HYL:昵称修改过程中出现昵称不可用提示，不需要重复上报,step_version = 20250122
134,玩家形象头饰编辑,研发-前端/SDK,,HYL:角色创建过程中，进行头饰编辑操作，不需要重复上报,step_version = 20250122
135,玩家形象服饰编辑,研发-前端/SDK,,HYL:角色创建过程中，进行服饰编辑操作，不需要重复上报,step_version = 20250122
136,玩家形象肤色编辑,研发-前端/SDK,,HYL:角色创建过程中，进行肤色编辑操作，不需要重复上报,step_version = 20250122
137,玩家形象旋转角色,研发-前端/SDK,,HYL:角色创建过程中，进行角色旋转操作，不需要重复上报,step_version = 20250122
140,角色创建完成,研发-前端/SDK,,HYL:完成角色创建，点击确认下一步,step_version = 20250122
150,隐私协议弹窗展示,研发-前端/SDK,,HYL:角色创建开始前，隐私协议确认弹窗,step_version = 20250122
151,隐私协议拒绝,研发-前端/SDK,,HYL:隐私协议窗口，拒绝授权,step_version = 20250122
160,隐私协议确认并关闭,研发-前端/SDK,,HYL:隐私协议窗口，同意授权,step_version = 20250122
170,花灵契约动画开始,研发-前端/SDK,,HYL:进入花灵契约动画界面,step_version = 20250122
171,花灵契约动画 · 加速,研发-前端/SDK,,HYL:在花灵契约播放过程加速操作,step_version = 20250122
180,花灵契约对话开始,研发-前端/SDK,,HYL:开始花灵契约对白,step_version = 20250122
181,花灵契约对话 · 跳过,研发-前端/SDK,,HYL:可进行跳过对话操作,step_version = 20250122
182,花灵契约对话 · 自动,研发-前端/SDK,,HYL:可进行自动对话操作,step_version = 20250122
190,花灵契约剧情结束,研发-前端/SDK,,HYL:花灵契约剧情全部结束,step_version = 20250122
200,完成新手剧情，进入主场景,研发-前端/SDK,,HYL:完成新手剧情及创角，进入主场景,step_version = 20250122
------ 2025.07 SPT 0.7.9 更新 step_version = 20250724 ------,,,,,
10,游戏启动,研发-前端/SDK,10,HYL:游戏启动，SDK初始化,step_version = 20250724
20,进入启动页,研发-前端/SDK,20,HYL:游戏Logo动画启动页,step_version = 20250724
30,CDN下载开始,研发-前端/SDK,30,HYL:开始进行配置&资源下载,step_version = 20250724
31,CDN下载失败,研发-前端/SDK,31,HYL:启动过程中任意位置下载失败(包括中断)，可重复,step_version = 20250724
32,CDN下载重连,研发-前端/SDK,32,HYL:启动过程中下载失败/中断后重试/重连成功，可重复,step_version = 20250724
40,进入Loading界面,研发-前端/SDK,40,HYL:进入启动Loading界面,step_version = 20250724
100,SDK登录开始,研发-前端/SDK,50,HYL:SDK登录开始，调用Login接口,step_version = 20250724
101,SDK登录失败,研发-前端/SDK,51,HYL:SDK登录失败，Login接口回调失败,step_version = 20250724
102,SDK登录成功,研发-前端/SDK,60,HYL:SDK登录成功，Login接口回调成功,step_version = 20250724
110,SDK设备信息获取开始,研发-前端/SDK,新增,HYL:SDK获取设备信息开始，调用getTrackingInfo接口,step_version = 20250724
111,SDK设备信息获取失败,研发-前端/SDK,新增,HYL:SDK获取设备信息失败，getTrackingInfo接口回调失败,step_version = 20250724
112,SDK设备信息获取成功,研发-前端/SDK,新增,HYL:SDK获取设备信息成功，getTrackingInfo接口回调成功,step_version = 20250724
120,请求服务器列表开始,研发-前端/SDK,新增,HYL:获取SDK登录&设备信息后，请求服务器列表并登录账号,step_version = 20250724
121,请求服务器列表失败,研发-前端/SDK,新增,HYL:获取SDK登录&设备信息后，请求服务器列表&登录失败,step_version = 20250724
122,服务器维护中,研发-前端/SDK,新增,HYL:获取SDK登录&设备信息后，请求登录返回服务器维护中,step_version = 20250724
123,请求服务器列表成功,研发-前端/SDK,新增,HYL:获取SDK登录&设备信息后，请求服务器列表&登录成功,step_version = 20250724
130,加载配置文件开始,研发-前端/SDK,新增,HYL:根据服务器列表返回cfgVersion，开始加载在线配置文件,step_version = 20250724
131,加载配置文件失败,研发-前端/SDK,新增,HYL:根据服务器列表返回cfgVersion，加载在线配置文件失败,step_version = 20250724
132,加载配置文件成功,研发-前端/SDK,新增,HYL:根据服务器列表返回cfgVersion，加载在线配置文件成功,step_version = 20250724
140,获取网关地址开始,研发-前端/SDK,新增,HYL:请求游戏服网关地址,step_version = 20250724
141,获取网关地址失败,研发-前端/SDK,新增,HYL:请求游戏服网关地址失败,step_version = 20250724
142,获取网关地址成功,研发-前端/SDK,新增,HYL:请求游戏服网关地址成功,step_version = 20250724
150,连接网络服务器开始,研发-前端/SDK,新增,HYL:请求连接游戏网关服务器,step_version = 20250724
151,连接网络服务器失败,研发-前端/SDK,新增,HYL:请求连接游戏网关服务器失败,step_version = 20250724
152,连接网络服务器成功,研发-前端/SDK,新增,HYL:请求连接游戏网关服务器成功,step_version = 20250724
160,客户端角色登录开始,研发-前端/SDK,新增,HYL:请求游戏服角色登录,step_version = 20250724
161,客户端角色登录失败,研发-前端/SDK,新增,HYL:请求游戏服角色登录失败,step_version = 20250724
162,客户端角色登录成功,研发-前端/SDK,新增,HYL:请求游戏服角色登录成功,step_version = 20250724
180,剧情资源预加载开始,研发-前端/SDK,新增,HYL:开始预加载剧情资源,step_version = 20250724
182,剧情资源预加载完成,研发-前端/SDK,新增,HYL:预加载剧情资源完成（不会失败）,step_version = 20250724
190,场景地块资源预加载开始,研发-前端/SDK,新增,HYL:开始预加载场景地块资源,step_version = 20250724
192,场景地块资源预加载完成,研发-前端/SDK,新增,HYL:预加载场景地块资源完成（不会失败）,step_version = 20250724
200,新手漫画剧情一,研发-前端/SDK,90,HYL:进入新手漫画剧情第一页,step_version = 20250724
201,新手漫画剧情一·加速,研发-前端/SDK,91,HYL:进行漫画剧情第一页加速操作，多次操作则多次上报,step_version = 20250724
202,新手漫画剧情二,研发-前端/SDK,100,HYL:进入新手漫画剧情第二页,step_version = 20250724
203,新手漫画剧情二·加速,研发-前端/SDK,101,HYL:进行漫画剧情第二页加速操作，多次操作则多次上报,step_version = 20250724
210,创建场景UI开始,研发-前端/SDK,新增,HYL:开始创建进入主场景所需UI,step_version = 20250724
212,创建场景UI完成,研发-前端/SDK,新增,HYL:创建进入主场景所需UI完成,step_version = 20250724
220,CDN下载完成,研发-前端/SDK,70,HYL:完成进入游戏所需资源CDN下载,step_version = 20250724
230,获取服务器数据开始,研发-前端/SDK,新增,HYL:角色登录成功后，开始接受角色数据并初始化游戏,step_version = 20250724
231,加载主场景物件&NPC·开始,研发-前端/SDK,新增,HYL:获取角色场景数据后，开始加载主场景,step_version = 20250724
232,加载主场景物件&NPC·完成,研发-前端/SDK,新增,HYL:获取角色场景数据后，加载主场景完成,step_version = 20250724
233,加载玩家Avatar·开始,研发-前端/SDK,新增,HYL:获取角色Avatar数据后，开始加载角色Avatar,step_version = 20250724
234,加载玩家Avatar·完成,研发-前端/SDK,新增,HYL:获取角色Avatar数据后，加载角色Avatar完成,step_version = 20250724
235,加载主界面数据&展示内容·开始,研发-前端/SDK,新增,HYL:获取角色主界面功能数据后，开始加载主界面信息&资源,step_version = 20250724
236,加载主界面数据&展示内容·完成,研发-前端/SDK,新增,HYL:获取角色主界面功能数据后，加载主界面信息完成,step_version = 20250724
237,加载其他角色数据相关内容·开始,研发-前端/SDK,新增,HYL:获取角色各主要功能数据后，开始加载相关信息&资源,step_version = 20250724
238,加载其他角色数据相关内容·完成,研发-前端/SDK,新增,HYL:获取角色各主要功能数据后，加载相关信息&资源完成,step_version = 20250724
300,进入花灵选择界面,研发-前端/SDK,110,HYL:进入花灵选择界面,step_version = 20250724
301,花灵选择切换,研发-前端/SDK,111,HYL:进行花灵切换操作，可进行记录，不需要重复上报,step_version = 20250724
310,完成花灵选择,研发-前端/SDK,120,HYL:完成花灵选择，点击确认下一步,step_version = 20250724
320,进入角色创建界面,研发-前端/SDK,130,HYL:进入角色创建界面,step_version = 20250724
321,角色昵称手动修改,研发-前端/SDK,131,HYL:手动输入修改角色昵称，不需要重复上报,step_version = 20250724
322,玩家昵称随机修改,研发-前端/SDK,132,HYL:随用随机昵称进行昵称修改，不需要重复上报,step_version = 20250724
323,玩家昵称非法,研发-前端/SDK,133,HYL:昵称修改过程中出现昵称不可用提示，不需要重复上报,step_version = 20250724
324,玩家形象头饰编辑,研发-前端/SDK,134,HYL:角色创建过程中，进行头饰编辑操作，不需要重复上报,step_version = 20250724
325,玩家形象服饰编辑,研发-前端/SDK,135,HYL:角色创建过程中，进行服饰编辑操作，不需要重复上报,step_version = 20250724
326,玩家形象肤色编辑,研发-前端/SDK,136,HYL:角色创建过程中，进行肤色编辑操作，不需要重复上报,step_version = 20250724
327,玩家形象旋转角色,研发-前端/SDK,137,HYL:角色创建过程中，进行角色旋转操作，不需要重复上报,step_version = 20250724
330,角色创建完成,研发-前端/SDK,140,HYL:完成角色创建，点击确认下一步,step_version = 20250724
340,隐私协议弹窗展示,研发-前端/SDK,150,HYL:角色创建开始前，隐私协议确认弹窗,step_version = 20250724
341,隐私协议拒绝,研发-前端/SDK,151,HYL:隐私协议窗口，拒绝授权,step_version = 20250724
342,隐私协议确认并关闭,研发-前端/SDK,160,HYL:隐私协议窗口，同意授权,step_version = 20250724
350,花灵契约动画开始,研发-前端/SDK,170,HYL:进入花灵契约动画界面,step_version = 20250724
351,花灵契约动画 · 加速,研发-前端/SDK,171,HYL:在花灵契约播放过程加速操作,step_version = 20250724
360,花灵契约对话开始,研发-前端/SDK,180,HYL:开始花灵契约对白,step_version = 20250724
361,花灵契约对话 · 跳过,研发-前端/SDK,181,HYL:可进行跳过对话操作,step_version = 20250724
362,花灵契约对话 · 自动,研发-前端/SDK,182,HYL:可进行自动对话操作,step_version = 20250724
370,花灵契约剧情结束,研发-前端/SDK,190,HYL:花灵契约剧情全部结束,step_version = 20250724
380,完成新手剧情，进入主场景,研发-前端/SDK,200,HYL:完成新手剧情及创角，进入主场景,step_version = 20250724
400,场景加载完成，进入游戏,研发-前端/SDK,80,HYL:非新手玩家，完成前置流程，进入主场景,step_version = 20250724
------ 2026.02 SPT 0.8.6 更新 step_version = 20260210 ------,,,,,
10,游戏启动,研发-前端/SDK,,HYL:游戏启动，SDK初始化,step_version = 20260210
20,进入启动页,研发-前端/SDK,,HYL:游戏Logo动画启动页,step_version = 20260210
30,CDN下载开始,研发-前端/SDK,,HYL:开始进行配置&资源下载,step_version = 20260210
31,CDN下载失败,研发-前端/SDK,,HYL:启动过程中任意位置下载失败(包括中断)，可重复,step_version = 20260210
32,CDN下载重连,研发-前端/SDK,,HYL:启动过程中下载失败/中断后重试/重连成功，可重复,step_version = 20260210
40,进入Loading界面,研发-前端/SDK,,HYL:进入启动Loading界面,step_version = 20260210
100,SDK登录开始,研发-前端/SDK,,HYL:SDK登录开始，调用Login接口,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
,,,,,step_version = 20260210
400,场景加载完成，进入游戏,研发-前端/SDK,,HYL:非新手玩家，完成前置流程，进入主场景,step_version = 20260210
,,,,,
step_id,step_name,,,221:支付流程-PayFlow，埋点,"GSSdk.analytics.track()，type = ""9"",""event"": ""106"""
201,HC_OPEN_PAY_INFO,研发-前端/SDK,是,HYL:特权详情页、支付礼包打开时发送,展示支付内容
302,HC_CLICK_PAY_BUTTON,研发-前端/SDK,是,HYL:任意支付商品点击购买按钮时发送（不论前置判断逻辑）,点击支付按钮
401,HC_REQUEST_PAY_GOODS,研发-前端/SDK,是,HYL:点击支付购买按钮并通过前端前置判断，向后端请求,发起购买请求
402,HS_RECIEVE_PAY_GOODS,研发-后端,是,HYL:收到前端支付购买请求（不论购买判断逻辑）,收到购买请求
501,HS_RETURN_PAYMENT_PARAMS,研发-后端,是,HYL:执行购买校验判断，回传客户端校验结果（含支付参数）,返回支付参数（或购买失败）
502,HC_RECIEVE_PAYMENT_PARAMS,研发-前端/SDK,是,HYL:收到后端返回购买校验结果（含支付参数）,收到支付参数（或购买失败）
601,HC_CALL_SDK_PAYMENT,研发-前端/SDK,是,HYL:完成支付参数核对，调用SDK支付接口正式发起支付,发起SDK支付
1302/2702,HS_RECIEVE_DELIVER_NOTIFY,研发-后端,是,HYL:收到SDK服务端的支付成功发货通知,收到发货通知 (抖音+微信android/微信iOS)
1402/2802,HS_COMPLETE_DELIVER,研发-后端,是,HYL:执行发货逻辑，完成发货操作,完成发货操作 (抖音+微信android/微信iOS)，同时发送【205:角色充值-Pay；208:资源产销-Prop】事件
1501/2901,HS_RETURN_DELIVER_RESULT,研发-后端,是,HYL:返回SDK服务端，游戏内发货执行结果,返回发货结果 (抖音+微信android/微信iOS)
,,,,,
,,,,,
step_id,step_name,,,223:激励视频-AdVideo，埋点,"GSSdk.analytics.track()，type = ""9"",""event"": ""110"""
10201,激励视频提示触发,研发-前端/SDK,是,HYL:用户基础操作，触发激励视频提示弹窗,= OpenAdVideoPrompt
10302,激励视频播放点击,研发-前端/SDK,是,HYL:用户点击激励视频播放按钮（不论前置判断逻辑）,= ClickAdVideoButton
10401,发起视频播放请求,研发-前端/SDK,,HYL:点击播放且通过前端前置判断，向后端请求,= RequestAdVideoPlay
10402,收到视频播放请求,研发-后端,,HYL:收到前端播放激励视频请求（不论后端校验逻辑）,= ReceiveAdVideoPlay
10501,返回激励视频参数,研发-后端,是,HYL:完成播放校验，回传客户端校验结果（含播放参数）,= ReturnAdVideoParams
10502,收到激励视频参数,研发-前端/SDK,,HYL:收到后端返回激励视频校验结果（含播放参数）,= ReceiveAdVideoParams
10601,发起SDK激励视频,研发-前端/SDK,,HYL:完成激励视频参数核对，调用SDK激励视频接口,= CallSdkAdVideo
20102,监听激励视频结果,研发-前端/SDK,是,HYL:监听获得SDK返回激励视频播放结果,= OnAdVideoResult
20201,返回视频奖励结果,研发-后端,,HYL:回传后端激励视频结果,= ReturnAdVideoResult
20202,收到视频奖励结果,研发-后端,,HYL:收到前端回传激励视频结果,= ReceiveAdVideoResult
20302,完成视频奖励发放,研发-后端,是,HYL:完成激励视频奖励发放（如成功）,= CompleteAdVideoReward，同时发送【208:资源产销-Prop】事件
,,,,,
,,,,,
